day_id,day,program_id,startTime,endTime,title,host,description,imageUrl
1,Monday,p31,21:00,21:30,9PM Prime Time News,Doreen Achipa And Frank Oyugi,"4th & the biggest Broadcast of local, national, international, business, market information.",https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
1,Monday,p32,21:30,22:00,Announcements,Edmond Ongwen,Annoncements run as listners try to communicate with distant relatives and friends. ,https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
1,Monday,p33,22:00,00:00,Lek Tuku,Moto Ronald,The latest on local Sports ,https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
1,Monday,p34,00:00,03:00,Hakuna Kulala Show,Oc Ojok,Playing Local music and keeping the night alive with the latest updates,https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
2,Tuesday,p35,03:00,03:30,"Introduction, Prayer and rollcall",Moses Okello Akokoro,Opening the station with soft gospel music and prayer from any willing listener.,https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
2,Tuesday,p36,03:30,04:00,Local Update,Moses Okello Akokoro,Listeners call in and give feedback of what happened in the night in their local arears,https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
2,Tuesday,p37,04:00,04:30,Testimonies,Moses Okello Akokoro,Listener calls to testify the good that the lord has done to him or her,https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
2,Tuesday,p38,04:30,05:00,PRAYER REQUEST,Moses Okello Akokoro,Listener cannel prayer request through the presenter for the preacher ‘s action,https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
2,Tuesday,p39,05:00,06:00,Preaching ,Moses Okello Akokoro,"Pastors, Rev, and Evangelists from al the local Christian background take the platform",https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
2,Tuesday,p40,06:00,07:00,Arise and shine,Moses Okello Akokoro,"Presenter interacts with the listener, greetings, dedication , music and call in",https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
2,Tuesday,p41,07:00,07:30,Morning News,Opio Bobson,Latest events,https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
2,Tuesday,p42,07:30,08:00,Morning Vex,Angura Ambrose and Opio Bobson,Presenters and Callers Share what disgusts them,https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
2,Tuesday,p43,08:00,09:00,morning Talkback ,Angura Ambrose and Opio Bobson,Discussions of issues at hand,https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
2,Tuesday,p44,09:00,10:00,Announcements,A. Patricia,Annoncements run as listners try to communicate with distant relatives and friends. ,https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
2,Tuesday,p45,10:00,10:15,TOP OF THE HOUR ENG NEWS,Nancy Atim,1st English news bullet inn with both local  national and international content.,https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
2,Tuesday,p46,10:15,11:00,QUOTE OF THE DAY,Okello Innocent,"Mention of the most inspiring words, strange but true, forex rates, press & weather update ",https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
2,Tuesday,p47,11:00,11:30,Announcements,A. Patricia,Annoncements run as listners try to communicate with distant relatives and friends. ,https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
2,Tuesday,p48,11:30,12:00,Strange But true Facts,Okello Innocent,Present shares the most interesting strange facts ,https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
2,Tuesday,p49,12:00,12:15,Boxing Ring,Okello Innocent,Callers are given two songs to choose which one plays next,https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
2,Tuesday,p50,12:15,12:30,Brainteaser,Okello Innocent,Presenter asks a tricky question and listeners give the Answers,https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
2,Tuesday,p51,12:30,12:45,Triple Play,Okello Innocent,A Lister Calls in and requests for 3 Songs.,https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
2,Tuesday,p52,12:45,13:00,Job Slots,Okello Innocent,Presenter runs mentions for Job Oprotunities. ,https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
2,Tuesday,p53,13:00,13:15,News In Luo,Oyugi Frank ,News in the local language ,https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
2,Tuesday,p54,13:15,14:00,Announcements,A. Patricia,Annoncements run as listners try to communicate with distant relatives and friends. ,https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
2,Tuesday,p55,14:00,16:00,Sports Bench,Lady J and Brian,Lates information on all sports news.,https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
2,Tuesday,p56,16:00,16:15,Evening Flight (Rolecall),Oscar Akwar Atat,Checkups on All listeners  ,https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
2,Tuesday,p57,16:15,16:30,Quote of the hour,Oscar Akwar Atat,"Mention of the most inspiring words, strange but true, forex rates, press & weather update ",https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
2,Tuesday,p58,16:30,16:45,Cuk Atedero,Oscar Akwar Atat,Liteners call in and sale or buy live on air,https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
2,Tuesday,p59,16:45,17:00,Weather Update,Oscar Akwar Atat,Weather is forcust discused at lenth,https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
2,Tuesday,p60,17:00,18:00,COMMUNITY DIALOGUE,Oscar Akwar Atat,Engaging members of the community  on some topic issues affecting them.,https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
2,Tuesday,p61,18:00,19:00,Hot 6 at 6,Oscar Akwar Atat,Afrobeat Music is played with 6 selected,https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
2,Tuesday,p62,19:00,19:30,Perspectives Documentary,Ogwal Jasper,"Slot allocated for feature stories , pre-recorded programs  and documentaries",https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
2,Tuesday,p63,19:30,20:00,HOT 7 @ 7 LOCAL HITS,Ogwal Jasper,Count down of hot local collection with brief profile of their artists.,https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
2,Tuesday,p64,20:00,21:00,Talkshow,Ogwal Jasper,"To paid up by NGOs, CBOs,  Local & Central Governments and any willing partner",https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
2,Tuesday,p65,21:00,21:30,9PM Prime Time News,Doreen Achipa And Frank Oyugi,"4th & the biggest Broadcast of local, national, international, business, market information.",https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
2,Tuesday,p66,21:30,22:00,Announcements,Edmond Ongwen,Annoncements run as listners try to communicate with distant relatives and friends. ,https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
2,Tuesday,p67,22:00,00:00,Lek Tuku,Moto Ronald,The latest on local Sports ,https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
2,Tuesday,p68,00:00,03:00,Hakuna Kulala Show,Oc Ojok,Playing Local music and keeping the night alive with the latest updates,https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
3,Wednesday ,p69,03:00,03:30,"Introduction, Prayer and rollcall",Moses Okello Akokoro,Opening the station with soft gospel music and prayer from any willing listener.,https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
3,Wednesday ,p70,03:30,04:00,Local Update,Moses Okello Akokoro,Listeners call in and give feedback of what happened in the night in their local arears,https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
3,Wednesday ,p71,04:00,04:30,Testimonies,Moses Okello Akokoro,Listener calls to testify the good that the lord has done to him or her,https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
3,Wednesday ,p72,04:30,05:00,PRAYER REQUEST,Moses Okello Akokoro,Listener cannel prayer request through the presenter for the preacher ‘s action,https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
3,Wednesday ,p73,05:00,06:00,Preaching ,Moses Okello Akokoro,"Pastors, Rev, and Evangelists from al the local Christian background take the platform",https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
3,Wednesday ,p74,06:00,07:00,Arise and shine,Moses Okello Akokoro,"Presenter interacts with the listener, greetings, dedication , music and call in",https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
3,Wednesday ,p75,07:00,07:30,Morning News,Opio Bobson,Latest events,https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
3,Wednesday ,p76,07:30,08:00,Morning Vex,Angura Ambrose and Opio Bobson,Presenters and Callers Share what disgusts them,https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
3,Wednesday ,p77,08:00,09:00,morning Talkback ,Angura Ambrose and Opio Bobson,Discussions of issues at hand,https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
3,Wednesday ,p78,09:00,10:00,Announcements,A. Patricia,Annoncements run as listners try to communicate with distant relatives and friends. ,https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
3,Wednesday ,p79,10:00,10:15,TOP OF THE HOUR ENG NEWS,Nancy Atim,1st English news bullet inn with both local  national and international content.,https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
3,Wednesday ,p80,10:15,11:00,QUOTE OF THE DAY,Okello Innocent,"Mention of the most inspiring words, strange but true, forex rates, press & weather update ",https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
3,Wednesday ,p81,11:00,11:30,Announcements,A. Patricia,Annoncements run as listners try to communicate with distant relatives and friends. ,https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
3,Wednesday ,p82,11:30,12:00,Strange But true Facts,Okello Innocent,Present shares the most interesting strange facts ,https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
3,Wednesday ,p83,12:00,12:15,Boxing Ring,Okello Innocent,Callers are given two songs to choose which one plays next,https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
3,Wednesday ,p84,12:15,12:30,Brainteaser,Okello Innocent,Presenter asks a tricky question and listeners give the Answers,https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
3,Wednesday ,p85,12:30,12:45,Triple Play,Okello Innocent,A Lister Calls in and requests for 3 Songs.,https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
3,Wednesday ,p86,12:45,13:00,Job Slots,Okello Innocent,Presenter runs mentions for Job Oprotunities. ,https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
3,Wednesday ,p87,13:00,13:15,News In Luo,Oyugi Frank ,News in the local language ,https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
3,Wednesday ,p88,13:15,14:00,Announcements,A. Patricia,Annoncements run as listners try to communicate with distant relatives and friends. ,https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
3,Wednesday,p89,14:00,16:00,Sports Bench,Lady J and Brian,Lates information on all sports news.,https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
3,Wednesday,p90,16:00,16:15,Evening Flight (Rolecall),Oscar Akwar Atat,Checkups on All listeners  ,https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
3,Wednesday,p91,16:15,16:30,Quote of the hour,Oscar Akwar Atat,"Mention of the most inspiring words, strange but true, forex rates, press & weather update ",https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
3,Wednesday,p92,16:30,16:45,Cuk Atedero,Oscar Akwar Atat,Liteners call in and sale or buy live on air,https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
3,Wednesday,p93,16:45,17:00,Weather Update,Oscar Akwar Atat,Weather is forcust discused at lenth,https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
3,Wednesday,p94,17:00,18:00,COMMUNITY DIALOGUE,Oscar Akwar Atat,Engaging members of the community  on some topic issues affecting them.,https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
3,Wednesday,p95,18:00,19:00,Hot 6 at 6,Oscar Akwar Atat,Afrobeat Music is played with 6 selected,https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
3,Wednesday,p96,19:00,19:30,Perspectives Documentary,Ogwal Jasper,"Slot allocated for feature stories , pre-recorded programs  and documentaries",https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
3,Wednesday,p97,19:30,20:00,HOT 7 @ 7 LOCAL HITS,Ogwal Jasper,Count down of hot local collection with brief profile of their artists.,https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
3,Wednesday,p98,20:00,21:00,Talkshow,Ogwal Jasper,"To paid up by NGOs, CBOs,  Local & Central Governments and any willing partner",https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
3,Wednesday,p99,21:00,21:30,9PM Prime Time News,Doreen Achipa And Frank Oyugi,"4th & the biggest Broadcast of local, national, international, business, market information.",https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
3,Wednesday,p100,21:30,22:00,Announcements,Edmond Ongwen,Annoncements run as listners try to communicate with distant relatives and friends. ,https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
3,Wednesday,p101,22:00,00:00,Lek Tuku,Moto Ronald,The latest on local Sports ,https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
3,Wednesday,p102,00:00,03:00,Hakuna Kulala Show,Oc Ojok,Playing Local music and keeping the night alive with the latest updates,https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
4,Thursday,p103,03:00,03:30,"Introduction, Prayer and rollcall",Moses Okello Akokoro,Opening the station with soft gospel music and prayer from any willing listener.,https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
4,Thursday,p104,03:30,04:00,Local Update,Moses Okello Akokoro,Listeners call in and give feedback of what happened in the night in their local arears,https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
4,Thursday,p105,04:00,04:30,Testimonies,Moses Okello Akokoro,Listener calls to testify the good that the lord has done to him or her,https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
4,Thursday,p106,04:30,05:00,PRAYER REQUEST,Moses Okello Akokoro,Listener cannel prayer request through the presenter for the preacher ‘s action,https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
4,Thursday,p107,05:00,06:00,Preaching ,Moses Okello Akokoro,"Pastors, Rev, and Evangelists from al the local Christian background take the platform",https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
4,Thursday,p108,06:00,07:00,Arise and shine,Moses Okello Akokoro,"Presenter interacts with the listener, greetings, dedication , music and call in",https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
4,Thursday,p109,07:00,07:30,Morning News,Opio Bobson,Latest events,https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
4,Thursday,p110,07:30,08:00,Morning Vex,Angura Ambrose and Opio Bobson,Presenters and Callers Share what disgusts them,https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
4,Thursday,p111,08:00,09:00,morning Talkback ,Angura Ambrose and Opio Bobson,Discussions of issues at hand,https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
4,Thursday,p112,09:00,10:00,Announcements,A. Patricia,Annoncements run as listners try to communicate with distant relatives and friends. ,https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
4,Thursday,p113,10:00,10:15,TOP OF THE HOUR ENG NEWS,Nancy Atim,1st English news bullet inn with both local  national and international content.,https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
4,Thursday,p114,10:15,11:00,QUOTE OF THE DAY,Okello Innocent,"Mention of the most inspiring words, strange but true, forex rates, press & weather update ",https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
4,Thursday,p115,11:00,11:30,Announcements,A. Patricia,Annoncements run as listners try to communicate with distant relatives and friends. ,https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
4,Thursday,p116,11:30,12:00,Strange But true Facts,Okello Innocent,Present shares the most interesting strange facts ,https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
4,Thursday,p117,12:00,12:15,Boxing Ring,Okello Innocent,Callers are given two songs to choose which one plays next,https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
4,Thursday,p118,12:15,12:30,Brainteaser,Okello Innocent,Presenter asks a tricky question and listeners give the Answers,https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
4,Thursday,p119,12:30,12:45,Triple Play,Okello Innocent,A Lister Calls in and requests for 3 Songs.,https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
4,Thursday,p120,12:45,13:00,Job Slots,Okello Innocent,Presenter runs mentions for Job Oprotunities. ,https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
4,Thursday,p121,13:00,13:15,News In Luo,Oyugi Frank ,News in the local language ,https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
4,Thursday,p122,13:15,14:00,Announcements,A. Patricia,Annoncements run as listners try to communicate with distant relatives and friends. ,https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
4,Thursday,p123,14:00,16:00,Sports Bench,Lady J and Brian,Lates information on all sports news.,https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
4,Thursday,p124,16:00,16:15,Evening Flight (Rolecall),Oscar Akwar Atat,Checkups on All listeners  ,https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
4,Thursday,p125,16:15,16:30,Quote of the hour,Oscar Akwar Atat,"Mention of the most inspiring words, strange but true, forex rates, press & weather update ",https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
4,Thursday,p126,16:30,16:45,Cuk Atedero,Oscar Akwar Atat,Liteners call in and sale or buy live on air,https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
4,Thursday,p127,16:45,17:00,Weather Update,Oscar Akwar Atat,Weather is forcust discused at lenth,https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
4,Thursday,p128,17:00,18:00,COMMUNITY DIALOGUE,Oscar Akwar Atat,Engaging members of the community  on some topic issues affecting them.,https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
4,Thursday,p129,18:00,19:00,Hot 6 at 6,Oscar Akwar Atat,Afrobeat Music is played with 6 selected,https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
4,Thursday,p130,19:00,19:30,Perspectives Documentary,Ogwal Jasper,"Slot allocated for feature stories , pre-recorded programs  and documentaries",https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
4,Thursday,p131,19:30,20:00,HOT 7 @ 7 LOCAL HITS,Ogwal Jasper,Count down of hot local collection with brief profile of their artists.,https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
4,Thursday,p132,20:00,21:00,Talkshow,Ogwal Jasper,"To paid up by NGOs, CBOs,  Local & Central Governments and any willing partner",https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
4,Thursday,p133,21:00,21:30,9PM Prime Time News,Doreen Achipa And Frank Oyugi,"4th & the biggest Broadcast of local, national, international, business, market information.",https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
4,Thursday,p134,21:30,22:00,Announcements,Edmond Ongwen,Annoncements run as listners try to communicate with distant relatives and friends. ,https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
4,Thursday,p135,22:00,00:00,Lek Tuku,Moto Ronald,The latest on local Sports ,https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
4,Thursday,p136,00:00,03:00,Hakuna Kulala Show,Oc Ojok,Playing Local music and keeping the night alive with the latest updates,https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
5,Friday,p137,03:00,03:30,"Introduction, Prayer and rollcall",Moses Okello Akokoro,Opening the station with soft gospel music and prayer from any willing listener.,https://cdn.pixabay.com/photo/2018/08/27/10/11/radio-cassette-3634616_1280.png
